,Text only - No Feed Back,,Text with Prediction feedback,Text - Fake Image,,,,
Dialog Length,ChatIR,Gemma3-12b,Gemma3-12b,Infinity,SD3.5,Flux,Lumina,HiDream
0,60.56,74.47,77.14,89.71,87.03,83.83,88.63,85.09
1,65.26,82.7,86.06,93.11,91.72,89.76,93.10,89.19
2,68.36,85.85,88.94,95.00,93.85,92.23,94.67,91.71
3,70.06,87.98,89.57,95.97,94.73,93.45,95.84,93.04
4,71.32,89.15,90.58,96.51,95.60,94.37,96.24,93.98
5,72.14,89.97,90.70,96.85,96.19,95.1,96.55,94.62
6,72.63,90.5,91.08,97.14,96.41,95.73,96.78,94.92
7,72.97,90.99,91.71,97.48,96.92,96.12,97.25,95.21
8,73.26,91.28,91.96,97.67,97.14,96.46,97.41,95.56
9,73.50,91.81,92.21,97.72,97.29,96.7,97.49,95.8
10,73.64,92.34,92.46,98.01,97.36,96.94,97.49,95.95
