FFHQ,,,,,Flicker 30k,,,,,,ClothingADC,,,
Dialog Length,Gemma3-4b-Text-Only,Gemma3-4b-with-Prediction-Feedback,Gemma3-4b-with-Fake-Image-Feedback,,Dialog Length,ChatIR-Text-Only,Gemma3-4b-Text-Only,Gemma3-4b-with-Prediction-Feedback,Gemma3-4b-with-Fake-Image-Feedback,,Dialog Length,Gemma3-4b-Text-Only,Gemma3-4b-with-Prediction-Feedback,Gemma3-4b-with-Fake-Image-Feedback
0,14.40,21.00,55.95,,0,76.00,67.80,77.96,93.40,,0,19.40,23.60,54.47
1,27.10,29.80,60.60,,1,80.00,79.60,83.67,95.40,,1,29.80,29.60,60.43
2,32.50,31.20,63.35,,2,82.00,83.00,85.92,96.60,,2,35.10,32.00,64.47
3,37.80,32.00,65.30,,3,82.70,85.00,86.12,97.00,,3,38.00,33.00,67.02
4,40.70,32.60,66.85,,4,83.30,87.00,87.14,97.40,,4,41.20,34.60,68.30
5,44.50,33.00,67.85,,5,83.70,88.80,88.16,97.80,,5,43.50,35.60,69.36
6,46.30,33.40,68.45,,6,83.90,89.40,88.57,98.20,,6,45.90,36.40,70.85
7,48.30,33.80,69.45,,7,84.00,90.00,88.98,98.60,,7,47.10,36.80,72.13
8,50.20,34.20,69.95,,8,84.20,90.20,88.98,99.00,,8,48.10,37.40,72.98
9,51.60,35.60,70.10,,9,84.30,90.40,88.98,99.00,,9,49.20,37.80,73.40
10,52.60,35.60,70.25,,10,84.50,91.20,89.59,99.00,,10,50.30,38.00,74.26
