,No Feedback,,Prediction Feedback,,Fake Image Feedback,
Dialog Length,No Feedback Gemma3-12b,No Feedback Gemma3-4b,Prediction Feedback Gemma3-12b,Prediction Feedback Gemma3-4b,Fake Image Feedback Gemma3-12b,Fake Image Feedback Gemma3-4b
0,74.47,69.53,77.14,75.58,89.71,95
1,82.7,80.33,86.06,81.25,93.11,95
2,85.85,83.77,88.94,84.06,95.00,95
3,87.98,85.56,89.57,85.03,95.97,95
4,89.15,86.92,90.58,86.05,96.51,95
5,89.97,87.74,90.70,86.77,96.85,95
6,90.5,88.23,91.08,87.21,97.14,95
7,90.99,89.00,91.71,87.55,97.48,95
8,91.28,89.15,91.96,87.74,97.67,95
9,91.81,89.58,92.21,87.98,97.72,95
10,92.34,89.97,92.46,88.18,98.01,95
