MSCOCO,,,,,,,,FFHQ,,,,,,
,No Feedback,,Prediction Feedback,,Fake Image Feedback,,,,No Feedback,,Prediction Feedback,,Fake Image Feedback,
Dialog Length,No Feedback Gemma3-12b,No Feedback Gemma3-4b,Prediction Feedback Gemma3-12b,Prediction Feedback Gemma3-4b,Fake Image Feedback Gemma3-12b,Fake Image Feedback Gemma3-4b,,Dialog Length,No Feedback Gemma3-12b,No Feedback Gemma3-4b,Prediction Feedback Gemma3-12b,Prediction Feedback Gemma3-4b,Fake Image Feedback Gemma3-12b,Fake Image Feedback Gemma3-4b
0,74.47,69.53,77.14,75.58,89.71,88.81,,0,22.30,14.40,23.53,21.00,61.55,55.95
1,82.7,80.33,86.06,81.25,93.11,91.13,,1,31.60,27.10,35.29,29.80,68.85,60.60
2,85.85,83.77,88.94,84.06,95.00,92.83,,2,36.10,32.50,43.14,31.20,72.25,63.35
3,87.98,85.56,89.57,85.03,95.97,94.22,,3,38.90,37.80,43.14,32.00,73.50,65.30
4,89.15,86.92,90.58,86.05,96.51,95.02,,4,40.10,40.70,43.14,32.60,74.70,66.85
5,89.97,87.74,90.70,86.77,96.85,95.55,,5,42.40,44.50,43.14,33.00,76.15,67.85
6,90.5,88.23,91.08,87.21,97.14,96.43,,6,44.40,46.30,43.14,33.40,76.90,68.45
7,90.99,89.00,91.71,87.55,97.48,96.77,,7,46.50,48.30,45.10,33.80,77.90,69.45
8,91.28,89.15,91.96,87.74,97.67,96.89,,8,48.20,50.20,47.06,34.20,78.25,69.95
9,91.81,89.58,92.21,87.98,97.72,97.12,,9,49.40,51.60,47.34,35.60,78.90,70.10
10,92.34,89.97,92.46,88.18,98.01,97.21,,10,50.50,52.60,47.41,35.60,79.20,70.25
